playerID,yearID,stint,teamID,lgID,G_bat,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,run_production,run_prevention,pos_factor,POS,G_field,run_production_scaled,run_prevention_scaled,total_run_value
adamsma01,2015,1,SLN,NL,60,,175,14,42,9,0,5,24.0,1.0,0.0,10,41.0,1.0,0.0,0.0,1.0,1.0,,64.5,174.87,0.9,1B,46,-0.6038543575900055,0.06566978762423695,-0.3360446995043085
adamsma01,2016,1,SLN,NL,118,,297,37,74,18,0,16,54.0,0.0,1.0,25,81.0,1.0,2.0,0.0,3.0,5.0,,139.3,341.55,0.9,1B,86,0.1375181832131897,1.0731789505389768,0.5117824901435046
adamsma01,2017,2,ATL,NL,100,,291,42,79,20,1,19,58.0,0.0,0.0,19,71.0,5.0,1.0,0.0,3.0,5.0,,150.1,273.03,0.95,1B,81,0.24456127733985406,0.6590049174041195,0.4103387333655602
adamsma01,2018,1,WAS,NL,94,,249,37,64,9,0,18,48.0,0.0,0.0,24,55.0,2.0,4.0,0.0,0.0,6.0,,126.30000000000001,218.98000000000005,0.9333333333333332,1B,79,0.008670014357019428,0.3322958325976544,0.13812034165327342
adamsma01,2019,1,WAS,NL,111,,310,42,70,14,0,20,56.0,0.0,0.0,20,115.0,1.0,2.0,0.0,1.0,7.0,,141.79999999999998,268.56,0.9,1B,79,0.16229667722399138,0.6319856831934832,0.3501722796117881
adamsmi03,2008,1,SDN,NL,54,,2,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7.3,1.0,P,54,-1.2431395030686965,-0.947219043846983,-1.124771319380011
adamsmi03,2010,1,SDN,NL,70,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.4,1.0,P,70,-1.2431395030686965,-0.964748300941132,-1.1317830222176708
adamsmi03,2012,1,TEX,AL,61,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.9,1.0,P,61,-1.2431395030686965,-0.9375477295881423,-1.1209027936764748
adamsru01,2005,1,TOR,AL,139,,481,68,123,27,5,8,63.0,11.0,2.0,50,57.0,1.0,3.0,3.0,8.0,5.0,,220.3,294.17,1.15,SS,132,0.9403413891631737,0.7867871570490538,0.8789196963175256
adamsru01,2006,1,TOR,AL,90,,251,31,55,14,1,3,28.0,1.0,2.0,22,41.0,0.0,1.0,3.0,3.0,5.0,,96.89999999999999,158.32500000000005,1.125,2B,86,-0.282725075210012,-0.034337646383588404,-0.18337010367944256
adamste01,2000,1,LAN,NL,66,,2,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,13.4,1.0,P,66,-1.2431395030686965,-0.9103471582351526,-1.1100225651352789
adamste01,2003,1,PHI,NL,66,,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.4,1.0,P,66,-1.2431395030686965,-0.94057001529403,-1.1221117079588299
adducji02,2018,1,DET,AL,59,,176,19,47,8,2,3,21.0,1.0,0.0,6,45.0,0.0,0.0,2.0,1.0,2.0,,68.69999999999999,172.53,0.9,1B,48,-0.5622264876518582,0.05152549052068226,-0.316725696382842
adelljo01,2022,1,LAA,AL,88,,268,22,60,12,2,8,27.0,4.0,2.0,11,107.0,0.0,4.0,0.0,1.0,6.0,,87.3,67.3,1.0,OF,84,-0.3778744922114915,-0.5845447591404533,-0.46054259898307626
adkinjo01,2004,1,CHA,AL,50,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,1.0,P,50,-1.2431395030686965,-0.9611215580940667,-1.1303323250788446
adkinjo01,2006,1,SDN,NL,55,,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.9,1.0,P,55,-1.2431395030686965,-0.9556814438234688,-1.1281562793706055
adriaeh01,2014,1,SFN,NL,53,,97,10,23,6,0,0,5.0,1.0,1.0,5,22.0,1.0,1.0,2.0,1.0,2.0,,29.8,57.285,1.1166666666666667,2B,35,-0.947779854459937,-0.6450811418293849,-0.8267003694077162
adriaeh01,2015,1,SFN,NL,52,,113,11,21,7,1,0,11.0,3.0,2.0,15,20.0,0.0,4.0,2.0,0.0,2.0,,40.5,93.94,1.0625,1B,42,-0.8417279000937045,-0.42351737673075407,-0.6744436907485243
adriaeh01,2017,1,MIN,AL,70,,162,30,43,9,2,2,24.0,8.0,1.0,16,25.0,1.0,1.0,1.0,6.0,0.0,,85.9,98.79,1.05,1B,68,-0.3917504488575405,-0.39420120538364284,-0.3927307514679814
adriaeh01,2018,1,MIN,AL,114,,335,42,84,23,1,6,39.0,5.0,1.0,24,82.0,2.0,1.0,4.0,2.0,4.0,,138.20000000000002,185.285,1.05,1B,112,0.12661564584843688,0.1286239988778787,0.1274189870602136
adriaeh01,2019,1,MIN,AL,84,,202,34,55,8,3,5,22.0,0.0,2.0,20,40.0,1.0,6.0,2.0,4.0,2.0,,93.5,132.375,1.0416666666666667,1B,83,-0.31642382706470257,-0.19119427451916282,-0.26633200604648666
